date,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max,building_id
2021-02-22,29.5,143.0,210,1.72,243.0,111.8,0.46,9.0,16,108.89583333333331,147.16666666666666,33.53333333333333,91.39583333333331,457,116.75,647,11.079166666666666,7.4,20.2,0.0,0.0,0.0,73.96666666666667,48.8,87.4,1022.7604166666666,1017.8,1029.8,156.0,76,195,2.285416666666667,0.1,4.7,6
2021-02-23,46.3,143.0,210,1.72,243.0,111.8,0.46,11.020833333333334,19,102.02083333333331,132.75,8.160416666666666,101.79166666666669,423,132.5,578,18.01458333333333,16.1,20.1,0.0,0.0,0.0,73.77499999999999,48.9,90.5,1033.8083333333334,1030.2,1035.4,192.9583333333333,174,211,4.264583333333333,3.0,6.0,6
2021-02-24,44.0,143.0,210,1.72,243.0,111.8,0.46,11.625,20,110.16666666666669,146.47916666666666,2.564583333333333,110.04166666666669,442,146.29166666666666,609,13.908333333333331,9.4,17.6,0.0,0.0,0.0,69.71875,46.9,85.5,1033.1625,1030.5,1035.8,188.1875,170,201,4.316666666666666,2.3,5.9,6
2021-02-25,50.8,143.0,210,1.72,243.0,111.8,0.46,10.875,20,136.625,202.79166666666663,4.1312500000000005,136.5,524,202.5208333333333,776,7.899999999999999,5.8,14.4,0.0,0.0,0.0,65.02499999999999,37.7,80.8,1029.5979166666666,1027.9,1030.7,203.2708333333333,185,238,4.775,2.2,6.4,6
2021-02-26,13.0,143.0,210,1.72,243.0,111.8,0.46,7.6875,13,112.89583333333331,150.27083333333334,40.204166666666666,60.35416666666666,280,60.25,321,17.89375,14.0,21.0,0.0083333333333333,0.0,0.1,76.45833333333333,65.0,86.2,1031.6895833333333,1030.2,1034.8,155.41666666666666,2,352,4.504166666666666,1.3,7.2,6
2021-02-27,57.4,143.0,210,1.72,243.0,111.8,0.46,5.979166666666667,10,152.5625,235.60416666666663,1.4020833333333331,152.125,566,234.29166666666663,853,7.441666666666666,6.3,13.2,0.0,0.0,0.0,68.04375,45.3,84.1,1035.7416666666666,1035.0,1037.0,40.520833333333336,19,52,6.84375,5.6,7.9,6
2021-02-28,56.4,143.0,210,1.72,243.0,111.8,0.46,4.979166666666667,11,155.47916666666666,239.125,1.95,154.5625,572,237.10416666666663,858,6.36875,5.5,7.8,0.0,0.0,0.0,70.35000000000001,48.1,87.1,1033.2833333333333,1031.5,1035.4,52.145833333333336,42,64,5.633333333333333,3.8,7.4,6
2021-03-01,54.7,143.0,210,1.72,243.0,111.8,0.46,5.578947368421052,14,158.96842105263158,243.7263157894737,3.133684210526316,157.76842105263157,573,240.8,856,6.883157894736842,5.7,8.6,0.0,0.0,0.0,67.6821052631579,40.2,89.3,1030.7305263157891,1029.3,1032.0,71.83157894736843,52,118,2.8757894736842102,1.9,4.4,6
2021-03-02,53.4,143.0,210,1.72,243.0,111.8,0.46,7.645833333333333,16,158.125,238.85416666666663,13.591666666666669,157.08333333333334,576,236.47916666666663,852,7.697916666666667,6.1,9.9,0.0,0.0,0.0,65.39791666666666,37.3,86.5,1031.2895833333334,1030.4,1032.2,144.64583333333334,96,185,1.81875,0.5,3.4,6
2021-03-03,12.3,143.0,210,1.72,243.0,111.8,0.46,7.770833333333333,13,113.6875,139.91666666666666,76.47708333333334,52.770833333333336,233,50.895833333333336,225,13.19375,10.2,15.0,0.0,0.0,0.0,70.09791666666666,52.3,85.4,1029.4166666666667,1025.7,1031.3,206.1458333333333,179,228,3.654166666666667,2.4,4.8,6
