,production,p_per_m2,p_max,panel_area,facade_area,total_panel_area,exploitation_ratio,air_temp_mean,air_temp_max,clearsky_ghi_mean,clearsky_gti_mean,cloud_opacity_mean,ghi_mean,ghi_max,gti_mean,gti_max,precipitable_water_mean,precipitable_water_min,precipitable_water_max,precipitation_rate_mean,precipitation_rate_min,precipitation_rate_max,relative_humidity_mean,relative_humidity_min,relative_humidity_max,surface_pressure_mean,surface_pressure_min,surface_pressure_max,wind_direction_100m_mean,wind_direction_100m_min,wind_direction_100m_max,wind_speed_100m_mean,wind_speed_100m_min,wind_speed_100m_max
46,46.1,143.0,210,1.72,218.0,94.6,0.434,6.083333333333333,16,127.83333333333331,214.16666666666663,0.0458333333333333,127.72916666666669,501,213.8333333333333,804,5.841666666666666,4.7,6.8,0.0,0.0,0.0,66.35208333333334,37.8,81.8,1028.75625,1027.3,1030.0,190.9375,187,196,4.233333333333333,2.9,5.7
47,46.9,143.0,210,1.72,218.0,94.6,0.434,6.5625,17,131.8125,219.5208333333333,5.552083333333333,131.8125,514,219.5208333333333,821,5.054166666666666,4.4,6.1,0.0,0.0,0.0,63.08541666666667,33.5,79.2,1025.0791666666669,1023.0,1027.4,191.75,178,208,4.660416666666666,3.4,5.4
48,46.6,143.0,210,1.72,218.0,94.6,0.434,6.416666666666667,16,130.9375,215.16666666666663,7.058333333333334,130.8125,509,214.5625,805,6.729166666666667,6.2,7.9,0.0,0.0,0.0,65.27916666666667,37.6,81.4,1021.3125,1019.0,1023.6,194.3125,151,217,3.94375,1.2,5.6
49,3.8,143.0,210,1.72,218.0,94.6,0.434,6.75,11,109.64583333333331,160.85416666666666,54.99375,29.83333333333333,131,29.14583333333333,126,14.08125,8.2,17.8,0.0,0.0,0.0,75.02916666666667,61.8,90.6,1021.9041666666668,1020.2,1023.9,243.41666666666663,4,358,4.0625,1.0,7.1
50,35.0,143.0,210,1.72,218.0,94.6,0.434,6.5625,13,122.14583333333331,188.60416666666663,35.733333333333334,105.375,457,145.4375,683,14.397916666666667,11.8,16.4,0.0,0.0,0.0,82.97708333333334,62.1,96.5,1025.2291666666667,1023.8,1027.4,195.79166666666663,163,349,1.8854166666666667,0.1,3.0
51,38.0,143.0,210,1.72,218.0,94.6,0.434,8.5,16,129.20833333333334,202.85416666666663,8.045833333333333,119.47916666666669,499,177.0,771,15.670833333333334,13.0,18.4,0.0,0.0,0.0,74.20208333333333,49.3,93.1,1029.1729166666669,1027.7,1031.9,239.16666666666663,199,306,2.595833333333333,1.3,3.8
52,10.6,143.0,210,1.72,218.0,94.6,0.434,9.166666666666666,13,130.375,204.2708333333333,31.947916666666668,64.02083333333333,338,68.875,374,16.05,12.2,20.3,0.0,0.0,0.0,77.37708333333333,59.3,90.3,1034.6083333333331,1032.2,1036.6,154.22916666666666,7,353,3.483333333333333,0.8,5.9
53,42.9,143.0,210,1.72,218.0,94.6,0.434,6.5,12,144.39583333333334,231.5625,17.139583333333334,135.9375,520,209.4583333333333,810,7.547916666666667,5.9,11.8,0.0,0.0,0.0,60.42916666666667,31.2,92.0,1036.1833333333334,1035.1,1037.0,65.08333333333333,49,84,5.452083333333333,4.5,6.8
54,50.8,143.0,210,1.72,218.0,94.6,0.434,5.770833333333333,14,145.89583333333334,232.4375,3.8958333333333335,144.625,542,229.35416666666663,836,8.924999999999999,6.7,12.7,0.0,0.0,0.0,42.57708333333333,25.7,55.7,1036.46875,1035.5,1037.4,53.16666666666666,35,111,3.475,0.4,5.3
55,49.6,143.0,210,1.72,218.0,94.6,0.434,8.270833333333334,17,146.1875,230.04166666666663,10.14375,144.08333333333334,544,224.16666666666663,829,10.0,8.3,11.8,0.0,0.0,0.0,50.75,34.7,77.8,1036.1875,1034.9,1037.3,49.04166666666666,33,61,3.795833333333334,2.1,4.9
56,46.3,143.0,210,1.72,218.0,94.6,0.434,8.875,19,151.3125,237.0625,15.777083333333332,146.45833333333334,560,223.6458333333333,853,8.725,6.2,10.6,0.0,0.0,0.0,67.66041666666666,36.2,87.5,1033.75625,1031.8,1035.6,57.4375,38,97,2.1104166666666666,0.8,3.5
57,48.0,143.0,210,1.72,218.0,94.6,0.434,9.541666666666666,19,153.75,239.47916666666663,0.1458333333333333,152.9375,566,237.75,854,8.358333333333333,7.0,10.6,0.0,0.0,0.0,62.97083333333333,29.4,84.2,1027.2395833333333,1022.7,1031.9,127.02083333333331,42,209,1.89375,0.4,6.1
58,42.9,143.0,210,1.72,218.0,94.6,0.434,10.8125,18,145.52083333333334,218.9375,1.1916666666666669,143.0,539,212.25,796,12.941666666666668,8.3,18.6,0.0645833333333333,0.0,0.7,60.74166666666667,43.2,74.2,1020.525,1018.9,1022.6,232.0,209,273,6.833333333333333,5.5,8.7
59,2.5,143.0,210,1.72,218.0,94.6,0.434,8.715789473684211,10,138.33684210526314,199.05263157894737,50.51578947368421,31.57894736842105,170,30.44210526315789,164,16.591578947368422,13.7,19.0,0.4873684210526315,0.0,1.5,83.80105263157895,75.3,87.8,1017.4631578947368,1015.2,1021.0,257.42105263157896,219,288,6.076842105263157,4.2,7.8
