production,p_per_m2,panel_area,facade_area,total_panel_area,exploitation_ratio,cloud_opacity_mean,cloud_opacity_q1,cloud_opacity_q2,cloud_opacity_q3,dni_mean,dni_std,dni_q3,dni_max,ghi_std,gti_mean,gti_std,gti_q3,gti_max,relative_humidity_std,relative_humidity_min
44.6,143.0,1.72,218.0,94.6,0.434,0.8541666666666666,0.0,0.0,0.0,290.3541666666667,341.5195386817838,658.25,818,277.8462729972092,276.5,353.54857621645266,583.5,931,14.664701069125432,41.7
32.4,143.0,1.72,218.0,94.6,0.434,34.516666666666666,17.4,36.5,50.525,180.7708333333333,293.911713447114,312.0,843,255.5312329107888,230.5833333333333,315.14223964056885,421.5,927,19.42896454061737,33.3
1.3,143.0,1.72,218.0,94.6,0.434,77.85000000000001,72.625,80.3,84.35,0.0,0.0,0.0,0,44.29799156550541,36.0625,42.809526803112206,68.75,138,8.387331875686552,57.8
2.8,143.0,1.72,218.0,94.6,0.434,68.02708333333334,55.6,69.94999999999999,80.72500000000001,0.0,0.0,0.0,0,59.643027925666594,46.16666666666666,57.565627056775085,82.25,194,4.116072975250645,80.9
9.9,143.0,1.72,218.0,94.6,0.434,46.7625,39.75,43.25,59.35,25.229166666666668,88.57098117145227,0.0,421,112.52909592224589,93.875,110.52286275467787,197.5,347,10.697111154734143,68.8
28.2,143.0,1.72,218.0,94.6,0.434,25.56875,2.225,25.85,41.8,101.97916666666669,223.3610272471628,21.25,848,236.6672326059561,189.91666666666663,282.194503115586,277.75,936,17.624390236421615,49.6
15.0,143.0,1.72,218.0,94.6,0.434,63.54583333333333,55.025,62.7,73.225,11.645833333333334,48.610693851637095,0.0,250,155.00157285864063,109.58333333333331,161.0642574734103,178.0,631,9.659690867702466,63.2
10.6,143.0,1.72,218.0,94.6,0.434,59.675,40.1,59.75,79.7,1.5625,9.157966535417662,0.0,63,103.86601221240664,83.33333333333333,100.27267787926088,152.0,285,10.218144583211007,63.7
3.0,143.0,1.72,218.0,94.6,0.434,65.98958333333333,55.6,66.35,76.425,0.0,0.0,0.0,0,63.74049435458888,50.0,61.453320807730734,87.75,204,5.698444481044462,80.3
7.2,143.0,1.72,218.0,94.6,0.434,52.96666666666667,36.525000000000006,58.8,69.42500000000001,0.0,0.0,0.0,0,95.36711448304754,69.6875,92.06060821603552,145.75,311,8.952534161219463,71.6
47.1,143.0,1.72,218.0,94.6,0.434,6.90625,0.0,0.0,0.0,367.3333333333333,383.9662736371257,786.75,880,309.2982878243329,312.2708333333333,381.8613839837883,663.75,993,11.077180676399047,40.0
40.3,143.0,1.72,218.0,94.6,0.434,5.585416666666667,0.0,0.0,2.3,255.7083333333333,337.7973053527013,598.0,890,298.41312500250194,282.0416666666667,364.447641415517,582.75,996,6.735622657828485,49.6
